abc
¿‡¡· AaBbCcDd ¿‡¡·¬‚√„ƒ‰≈Â®∏∆Ê«Á»Ë…È ÍÀÎÃÏÕÌŒÓœÔ–—Ò“Ú”Û‘Ù’ı÷ˆ◊˜ÿ¯Ÿ˘›˝ﬁ˛ﬂˇ‹¸⁄˙ABC
Latitude;Longitude;ele;time;magvar;geoidheight;name;cmt;desc;src;link;sym;wtype;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;extensions
Waypoints
46.0676800366491;23.5693639609963;;"4/5/2014 11:56:28";;;"Alba-Iulia Cathedral of Saint Michael";;;;;"Scenic Area";user;;;;;;;;<gpxx:WaypointExtension><gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode><gpxx:Categories><gpxx:Category>Transilvania</gpxx:Category></gpxx:Categories><gpxx:Address><gpxx:City>Alba-Iulia</gpxx:City><gpxx:State>Transilvania</gpxx:State><gpxx:Country>Romania</gpxx:Country></gpxx:Address></gpxx:WaypointExtension><wptx1:WaypointExtension><wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode><wptx1:Categories><wptx1:Category>Transilvania</wptx1:Category></wptx1:Categories><wptx1:Address><wptx1:City>Alba-Iulia</wptx1:City><wptx1:State>Transilvania</wptx1:State><wptx1:Country>Romania</wptx1:Country></wptx1:Address></wptx1:WaypointExtension><ctx:CreationTimeExtension><ctx:CreationTime>2014-04-05T11:56:28Z</ctx:CreationTime></ctx:CreationTimeExtension>
46.0701830405742;23.5658820345998;;"3/21/2014 11:27:46";;;"Alba-Iulia Citadel";;;;;"Parking Area";user;;;;;;;;<gpxx:WaypointExtension><gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode><gpxx:Categories><gpxx:Category>Transilvania</gpxx:Category></gpxx:Categories><gpxx:Address><gpxx:City>Alba-Iulia</gpxx:City><gpxx:State>Transilvania</gpxx:State><gpxx:Country>Romania</gpxx:Country></gpxx:Address></gpxx:WaypointExtension><wptx1:WaypointExtension><wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode><wptx1:Categories><wptx1:Category>Transilvania</wptx1:Category></wptx1:Categories><wptx1:Address><wptx1:City>Alba-Iulia</wptx1:City><wptx1:State>Transilvania</wptx1:State><wptx1:Country>Romania</wptx1:Country></wptx1:Address></wptx1:WaypointExtension><ctx:CreationTimeExtension><ctx:CreationTime>2014-03-21T11:27:46Z</ctx:CreationTime></ctx:CreationTimeExtension>
45.6048579979688;24.6176450047642;;"3/22/2014 21:08:37";;;"Balea Lake";;;;;"Scenic Area";user;;;;;;;;"<gpxx:WaypointExtension><gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode><gpxx:Categories><gpxx:Category>Transilvania</gpxx:Category></gpxx:Categories><gpxx:Address><gpxx:City>B&#226 lea Lake</gpxx:City><gpxx:State>Transilvania</gpxx:State><gpxx:Country>Romania</gpxx:Country></gpxx:Address></gpxx:WaypointExtension><wptx1:WaypointExtension><wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode><wptx1:Categories><wptx1:Category>Transilvania</wptx1:Category></wptx1:Categories><wptx1:Address><wptx1:City>B&#226 lea Lake</wptx1:City><wptx1:State>Transilvania</wptx1:State><wptx1:Country>Romania</wptx1:Country></wptx1:Address></wptx1:WaypointExtension><ctx:CreationTimeExtension><ctx:CreationTime>2014-03-22T21:08:37Z</ctx:CreationTime></ctx:CreationTimeExtension>"
45.5150780081749;25.3671660181135;;"3/21/2014 11:38:18";;;"Bran castle";;;;;"Scenic Area";user;;;;;;;;<gpxx:WaypointExtension><gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode><gpxx:Categories><gpxx:Category>Transilvania</gpxx:Category></gpxx:Categories><gpxx:Address><gpxx:City>Bran</gpxx:City><gpxx:State>Transilvania</gpxx:State><gpxx:Country>Romania</gpxx:Country></gpxx:Address></gpxx:WaypointExtension><wptx1:WaypointExtension><wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode><wptx1:Categories><wptx1:Category>Transilvania</wptx1:Category></wptx1:Categories><wptx1:Address><wptx1:City>Bran</wptx1:City><wptx1:State>Transilvania</wptx1:State><wptx1:Country>Romania</wptx1:Country></wptx1:Address></wptx1:WaypointExtension><ctx:CreationTimeExtension><ctx:CreationTime>2014-03-21T11:38:18Z</ctx:CreationTime></ctx:CreationTimeExtension>
45.6408809870481;25.5878150090575;;"4/6/2014 16:43:46";;;"Brasov Black Church";;;;;"Scenic Area";user;;;;;;;;<gpxx:WaypointExtension><gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode><gpxx:Categories><gpxx:Category>Transilvania</gpxx:Category></gpxx:Categories><gpxx:Address><gpxx:City>Brasov</gpxx:City><gpxx:State>Transilvania</gpxx:State><gpxx:Country>Romania</gpxx:Country></gpxx:Address></gpxx:WaypointExtension><wptx1:WaypointExtension><wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode><wptx1:Categories><wptx1:Category>Transilvania</wptx1:Category></wptx1:Categories><wptx1:Address><wptx1:City>Brasov</wptx1:City><wptx1:State>Transilvania</wptx1:State><wptx1:Country>Romania</wptx1:Country></wptx1:Address></wptx1:WaypointExtension><ctx:CreationTimeExtension><ctx:CreationTime>2014-04-06T16:43:46Z</ctx:CreationTime></ctx:CreationTimeExtension>
45.6466449704021;25.5991149879992;;"3/21/2014 11:39:40";;;"Brasov Hotel Pensiunea Casa Tepes";;;;;Lodging;user;;;;;;;;<gpxx:WaypointExtension><gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode><gpxx:Categories><gpxx:Category>Transilvania</gpxx:Category></gpxx:Categories><gpxx:Address><gpxx:City>Brasov</gpxx:City><gpxx:State>Transilvania</gpxx:State><gpxx:Country>Romania</gpxx:Country></gpxx:Address></gpxx:WaypointExtension><wptx1:WaypointExtension><wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode><wptx1:Categories><wptx1:Category>Transilvania</wptx1:Category></wptx1:Categories><wptx1:Address><wptx1:City>Brasov</wptx1:City><wptx1:State>Transilvania</wptx1:State><wptx1:Country>Romania</wptx1:Country></wptx1:Address></wptx1:WaypointExtension><ctx:CreationTimeExtension><ctx:CreationTime>2014-03-21T11:39:40Z</ctx:CreationTime></ctx:CreationTimeExtension>
45.6360009592026;25.580011960119;;"4/6/2014 17:11:01";;;"Brasov Piata Unirii";;;;;"Scenic Area";user;;;;;;;;<gpxx:WaypointExtension><gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode><gpxx:Categories><gpxx:Category>Transilvania</gpxx:Category></gpxx:Categories><gpxx:Address><gpxx:City>Brasov</gpxx:City><gpxx:State>Transilvania</gpxx:State><gpxx:Country>Romania</gpxx:Country></gpxx:Address></gpxx:WaypointExtension><wptx1:WaypointExtension><wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode><wptx1:Categories><wptx1:Category>Transilvania</wptx1:Category></wptx1:Categories><wptx1:Address><wptx1:City>Brasov</wptx1:City><wptx1:State>Transilvania</wptx1:State><wptx1:Country>Romania</wptx1:Country></wptx1:Address></wptx1:WaypointExtension><ctx:CreationTimeExtension><ctx:CreationTime>2014-04-06T17:11:01Z</ctx:CreationTime></ctx:CreationTimeExtension>
45.6511100102216;25.5876030307263;;"3/26/2014 20:05:44";;;"Brasov Pro Alpin";;;;;"Shopping Center";user;;;;;;;;<gpxx:WaypointExtension><gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode><gpxx:Categories><gpxx:Category>Transilvania</gpxx:Category></gpxx:Categories><gpxx:Address><gpxx:City>Brasov</gpxx:City><gpxx:State>Transilvania</gpxx:State><gpxx:Country>Romania</gpxx:Country></gpxx:Address></gpxx:WaypointExtension><wptx1:WaypointExtension><wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode><wptx1:Categories><wptx1:Category>Transilvania</wptx1:Category></wptx1:Categories><wptx1:Address><wptx1:City>Brasov</wptx1:City><wptx1:State>Transilvania</wptx1:State><wptx1:Country>Romania</wptx1:Country></wptx1:Address></wptx1:WaypointExtension><ctx:CreationTimeExtension><ctx:CreationTime>2014-03-26T20:05:44Z</ctx:CreationTime></ctx:CreationTimeExtension>
45.6432570051402;25.5922239739448;;"3/26/2014 20:04:30";;;"Brasov Tourist shop";;;;;"Shopping Center";user;;;;;;;;<gpxx:WaypointExtension><gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode><gpxx:Categories><gpxx:Category>Transilvania</gpxx:Category></gpxx:Categories><gpxx:Address><gpxx:City>Brasov</gpxx:City><gpxx:State>Transilvania</gpxx:State><gpxx:Country>Romania</gpxx:Country></gpxx:Address></gpxx:WaypointExtension><wptx1:WaypointExtension><wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode><wptx1:Categories><wptx1:Category>Transilvania</wptx1:Category></wptx1:Categories><wptx1:Address><wptx1:City>Brasov</wptx1:City><wptx1:State>Transilvania</wptx1:State><wptx1:Country>Romania</wptx1:Country></wptx1:Address></wptx1:WaypointExtension><ctx:CreationTimeExtension><ctx:CreationTime>2014-03-26T20:04:30Z</ctx:CreationTime></ctx:CreationTimeExtension>
